hubspot_campaign,platform,mapped_campaign,confidence_score
Africa - Loyalty - CAM 2026 (Mary),HeyReach,Mary CAM 2026 Loyalty,82%
Africa - Loyalty - CAM 2026 (Roshaan),HeyReach,Roshaan CAM 2026 Loyalty ,82%
Africa Non-BFSI CAM List Outreach,UNMATCHED,—,0%
AI Congress and Awards Mumbai Mumbai 2026,UNMATCHED,—,0%
Airlines API ,Smartlead,Airlines - Plum API - 5,67%
Airlines API ,Smartlead,Airlines - Plum API - 4,67%
Airlines API ,Smartlead,Airlines - Plum API - 3,67%
Airlines API ,Smartlead,Airlines - Plum API - 2,67%
Airlines API ,Smartlead,Airlines - Plum API - 1,67%
Already Using a Solution – HR Profiles,Smartlead,Already using a Solution- HR profiles -INDONESIA,78%
Already Using a Solution – HR Profiles,Smartlead,Already using a Solution- HR profiles - PHILIPPINES,78%
Already Using a Solution – HR Profiles,Smartlead,Already using a Solution- HR profiles -AFRICA,78%
Already Using a Solution – HR Profiles,Smartlead,Already using a Solution- HR profiles - INDIA,78%
AMA Ahmedabad 2026,UNMATCHED,—,0%
Annual India HR Summit 2026 Mumbai,UNMATCHED,—,0%
Apollo - D2C recently Funded - Loyalife - Sanjeeda- SelfTrack,Smartlead,Apollo - D2C recently Funded - Loyalife - Sanjeeda - SelfTrack - Managers,90%
Apollo - D2C recently Funded - Loyalife - Sanjeeda- SelfTrack,Smartlead,Apollo - D2C recently Funded - Loyalife - Sanjeeda - SelfTrack - Decision Makers,80%
Apollo - D2C recently Funded - Loyalife - Sanjeeda- SelfTrack,HeyReach,D2C recently Funded - Loyalife - Sanjeeda- SelfTrack - Managers,77%
Apollo - D2C recently Funded - Loyalife - Sanjeeda- SelfTrack,HeyReach,D2C recently F-unded - Loyalife - Sanjeeda- SelfTrack -Decision Makers.csv,61%
Automotive Channel Partners,Smartlead,Automotive Channel Partners,95%
BambooHR,UNMATCHED,—,0%
Campaign on Q1 repository on 2025,UNMATCHED,—,0%
Carot & Stakes - San Diego - Linkedin Reachout,UNMATCHED,—,0%
Carrot & Stakes,Smartlead,Carrot & Stakes,95%
Carrot & Stakes - San Diego,UNMATCHED,—,0%
Carrot & Stakes - Seattle,UNMATCHED,—,0%
Carrot & Stakes - Seattle,UNMATCHED,—,0%
Carrot & Stakes -Manila - 29th Jan,UNMATCHED,—,0%
Carrots & Stakes / Jakarta / 27 Jan,UNMATCHED,—,0%
Channel Loyalty Platforms,UNMATCHED,—,0%
Cold leads outreach campaign for UK,UNMATCHED,—,0%
Crypto Rewards API,UNMATCHED,—,0%
Database - Gaming companies - Email/LI - Hunting - sanjeeda,UNMATCHED,—,0%
Database - HRs - >500 emp - Email/LI - Hunting,UNMATCHED,—,0%
Dinner at Loyalty Connect US – Atlanta,UNMATCHED,—,0%
Employee Benefits Platforms,UNMATCHED,—,0%
Employee Health Con Pazcare 2026,UNMATCHED,—,0%
ET Media and Entertainment Awards,UNMATCHED,—,0%
ET Nextech Delhi 2026- SANJEEDA,UNMATCHED,—,0%
Fintech Meetup,UNMATCHED,—,0%
FMCD & Electronics Channel Incentives,Smartlead,FMCD and Electronics; Channel Incentives:,82%
FMCG & CPG Channel Incentives 2026,Smartlead,"FMCG and CPG, Channel Incentives - 2026",85%
Gaming Rewards API 2026,Smartlead,Gaming Rewards API 2026 - Indonesia,82%
Gaming Rewards API 2026,Smartlead,Gaming Rewards API 2026 -Americas,72%
Gaming Rewards API 2026,Smartlead,Gaming Rewards API 2026 - India,72%
GCC Leadership Conclave,Smartlead,GCC Leadership Conclave,95%
GCC Leadership Conclave,Smartlead,GCC Leadership Conclave 2,95%
GCC Leadership Conclave,Smartlead,GCC Leadership Conclave,95%
GCC Leadership Conclave,Smartlead,GCC Leadership Conclave 2,95%
Global API - CAM Accounts - Gaurav Sava ,UNMATCHED,—,0%
Headcount %+ - Global - CAM - Email-LI - Hunting,UNMATCHED,—,0%
Health & Welness Apps (B2C),UNMATCHED,—,0%
HIGH_ABM_ACTDEAL_KSA_LI_ZOYA_21APR2026,HeyReach,HIGH_ABM_ACTDEAL_KSA_LI_ZOYA_21APR2026,95%
High_ABM_DREAM_GCC_EMAIL-LI_NAVEEN_21APR2026_,Smartlead,P1_High_ABM_DREAM_GCC_EMAIL_NaveenSanjeeda_21APR2026_,60%
High_ABM_DREAM_GCC_EMAIL-LI_NAVEEN_21APR2026_,Smartlead,P1_ABM_PASSDEAL(Muneet)_GCC_EMAIL-LI_naveen,61%
High_ABM_DREAM_GCC_EMAIL-LI_NAVEEN_21APR2026_,HeyReach,P1_High_ABM_DREAM_GCC_LI_NaveenSanjeeda_21APR2026_,60%
HR Tech EU - Pre-event reachout | Event Date: 22&23 April ,UNMATCHED,—,0%
HR Tech Summit BLR 2026 Feb,UNMATCHED,—,0%
HR Tech UK - Pre-event outreach,Smartlead,HR Tech EU Pre Event Attendee Outreach,63%
IMA Paris 5th Feb 2026,UNMATCHED,—,0%
India Digital Summit,Smartlead,India Digital Summit,95%
India Sales & Trade Marketing – Existing Solution,UNMATCHED,—,0%
Indonesia - CAM 2026 - Female (Faris),UNMATCHED,—,0%
Indonesia - CAM 2026 - Male (Faris),UNMATCHED,—,0%
Indonesia - Loyalty - CAM 2026,HeyReach,Mary CAM 2026 Loyalty,60%
Indonesia - Loyalty - CAM 2026,HeyReach,Imelda CAM 2026 Loyalty,60%
Indonesia - Loyalty - CAM 2026,HeyReach,Ahmad CAM 2026 - loyalty,60%
Indonesia - Loyalty - CAM 2026,HeyReach,Roshaan CAM 2026 Loyalty ,60%
Intent Signal - Companies who get Great place to work and culture awards- Email/LI- Hunting-SANJEEDA,UNMATCHED,—,0%
Keka Clients Campaign,HeyReach,keka partner Campaign (clients),77%
Lead mapping on loyalty persona by profile views,UNMATCHED,—,0%
Learning Management Platforms,UNMATCHED,—,0%
LinkedIn outreach to inactive deals for KSA,UNMATCHED,—,0%
LinkedIn outreach via Imelda to inactive contacts in Faris' active pipeline,UNMATCHED,—,0%
Manufacturing Channel Incentives,Smartlead,Manufacturing Channel Incentives,82%
Market Research Agencies,UNMATCHED,—,0%
Mental Wellbeing Support,UNMATCHED,—,0%
Middle East Tragedy Outreach,Smartlead,Middle East Tragedy Outreach,95%
Middle East Tragedy Outreach,Smartlead,Middle East Tragedy Outreach - BATCH 4,82%
Middle East Tragedy Outreach,Smartlead,Middle East Tragedy Outreach - BATCH 3,82%
Middle East Tragedy Outreach,Smartlead,Middle East Tragedy Outreach - BATCH 2,82%
Moe-Engage,UNMATCHED,—,0%
Neelam - empuls,UNMATCHED,—,0%
New May SMB US and Canada - Outreach - Srinidhi,UNMATCHED,—,0%
Nusrat GCC - Passive Deals Activation,UNMATCHED,—,0%
Outreach for HiBob Customers - US,UNMATCHED,—,0%
Outreach for Remote Customers,UNMATCHED,—,0%
P0_ABM_EIDWISH_GCC_EMAIL_NaveenNaitik25May2026,Smartlead,P0_ABM_EIDWISH_GCC_EMAIL_NaveenNaitik25May2026,95%
