Name,Website,Category,Products,Employees,Revenue,Funding,Region,Status,AI Innovator,Recent Funding,Founded,HQ,Threat,Notes,
360insights,https://360insights.com,Channel Loyalty,"Loyalife,Compass",501-1000,—,$47.6M,Canada,Active,No,,2008,Canada,Medium,Channel loyalty & partner incentives.,
5 Starr Engagement,https://www.5starrengagement.com,Surveys,Empuls,2-10,—,—,USA,Active,No,,2010,USA,Low,Employee engagement surveys.,
99minds,https://www.99minds.io,Gift Cards/Loyalty,"Plum,Loyalife",2-20,$1.1M,—,Global,Active,No,,2019,USA,Medium,"Gift cards, loyalty & referral. API-first.",
Accentiv,https://www.accentiv.co.in,Employee Rewards,"Plum,Empuls",201-500,$7.1M,—,India,Active,No,,2003,India,Medium,Full-stack rewards & recognition. India.,
Achievers,https://www.achievers.com,Employee RnR,Empuls,1000-5000,$52.4M,—,Global,Acquired,Yes,,2002,Canada,High,Acquired by Blackhawk. Major rival.,
Ackroo,https://www.ackroo.com,Loyalty/POS,Loyalife,11-50,$2M,—,Canada,Active,No,,2012,Canada,Low,"Loyalty, POS & gift cards. Food sector.",
Advantageclub,https://www.workadvantage.in,Employee Engagement,Empuls,201-500,$40.2M,$6.7M,India,Active,No,$6.7M raised,2014,India,High,India employee engagement & perks.,
Advocado,https://advocadoapp.com,Loyalife,,11-50,—,—,Card-linked Offers,USA,No,Card-linked offer platform for local businesses.,2016,USA,Low,,
Affinity Solutions,https://www.affinity.solutions,Card-linked Offers,Loyalife,51-200,—,—,USA,Active,No,,2005,USA,Medium,Card-linked offers & purchase analytics.,
AgencyComp,https://agencycomp.com,Compass,,11-50,—,—,Sales Commission,USA,No,Agency commission management platform. Texas.,2015,USA,Low,,
Air Baton,https://www.discoverairbaton.net,Loyalife,,11-50,—,—,Consumer Loyalty,USA,No,Consumer loyalty and rewards platform.,2018,USA,Low,,
All Digital Rewards,https://alldigitalrewards.com,All Rewards,"Plum,Empuls,Compass",51-200,$6M,—,USA,Active,No,,2007,USA,Medium,Full-stack incentives & reward programs.,
